#Time,X,Y,Z,q_x,q_y,q_z,q_w
781,-5.201458232,-2.518752666,0.063989556,0.531761678,0.846322534,0.021429928,0.022548708
782,-5.201451034,-2.518757071,0.063995826,0.531820584,0.846284819,0.021433977,0.022571158
783,-5.201444558,-2.518767938,0.064004361,0.531881756,0.846246275,0.021425925,0.022582512
784,-5.201441148,-2.518779646,0.064016206,0.531931487,0.846214988,0.021426319,0.022583186
785,-5.201440557,-2.518790561,0.064031505,0.531953017,0.846202305,0.02141431,0.02256267
786,-5.201442634,-2.518796229,0.064045418,0.531939716,0.846211699,0.021403711,0.02253398
787,-5.201444249,-2.518796955,0.064061823,0.531897235,0.846239012,0.021413918,0.022501316
788,-5.201446867,-2.518791886,0.064077017,0.531828059,0.846282778,0.021438275,0.022467192
789,-5.20144828,-2.518785825,0.064089949,0.531738636,0.846338813,0.021471825,0.022441001
790,-5.201452575,-2.518774349,0.064102308,0.53164801,0.846395925,0.021498924,0.022408194
791,-5.201457633,-2.518764392,0.064107812,0.531543196,0.846462229,0.021512507,0.022377171
792,-5.201467183,-2.518751258,0.064107459,0.53146059,0.84651527,0.021505108,0.022339863
793,-5.201475991,-2.518740476,0.064102688,0.531389106,0.846560789,0.021502134,0.022318308
794,-5.201486024,-2.518726419,0.064098584,0.53134685,0.846587815,0.021490194,0.022310709
795,-5.201493948,-2.518716039,0.064092034,0.531322629,0.846603041,0.021477285,0.022322194
796,-5.201501309,-2.518708237,0.064086751,0.531333035,0.846596313,0.021455836,0.022350309
797,-5.201508202,-2.518709257,0.064082344,0.531374024,0.846570377,0.021434976,0.02237823
798,-5.201515853,-2.518715831,0.064078672,0.531438704,0.846529175,0.021413598,0.022421344
799,-5.201521482,-2.518728312,0.064076973,0.531523713,0.846475516,0.021400183,0.022444956
800,-5.201528822,-2.51873763,0.064079454,0.531616718,0.846416356,0.02142096,0.022453491
801,-5.201535739,-2.518743803,0.06408172,0.531675893,0.846378748,0.021448559,0.022443696
802,-5.201545557,-2.518737899,0.064086236,0.531678359,0.846376743,0.021486824,0.022424251
803,-5.201554116,-2.518726061,0.064092301,0.531624473,0.846410226,0.021534035,0.022392741
804,-5.20156564,-2.51870205,0.064099502,0.531519404,0.846475888,0.021575916,0.022364568
805,-5.201576019,-2.518675378,0.064109243,0.531395611,0.846553499,0.021606891,0.022338772
806,-5.20158381,-2.518650419,0.064118379,0.53129399,0.846616727,0.021641099,0.022326577
807,-5.201590484,-2.518628258,0.064127325,0.531226152,0.846658174,0.021678617,0.022332716
808,-5.20159546,-2.518612655,0.064134822,0.531213138,0.846665281,0.021714463,0.022338011
809,-5.201600633,-2.518604497,0.064140177,0.531222811,0.846658771,0.02173402,0.022335695
810,-5.201606511,-2.518603894,0.06413867,0.531257785,0.846636748,0.02174976,0.022323324
811,-5.201613578,-2.518602583,0.064135613,0.53130138,0.846610244,0.021743616,0.022296947
812,-5.201617992,-2.518600211,0.064132465,0.531332861,0.846590971,0.021731664,0.022290234
813,-5.201622738,-2.518590471,0.064131969,0.531351269,0.846580477,0.021702778,0.022278104
814,-5.201625942,-2.518577489,0.064131308,0.531355446,0.846578775,0.021671172,0.022273929
815,-5.201628592,-2.518565349,0.06413428,0.531354531,0.846580493,0.021637765,0.022262918
816,-5.201631211,-2.518557065,0.064135101,0.531369595,0.846572106,0.021604543,0.022254579
817,-5.201635646,-2.518549408,0.064134882,0.531390051,0.846560406,0.021583363,0.02223174
818,-5.201639727,-2.518543853,0.064137048,0.531429271,0.846536369,0.021570347,0.022222192
819,-5.201642206,-2.518538188,0.064135623,0.531452645,0.846522435,0.02154341,0.022220135
820,-5.201643948,-2.518527441,0.064136842,0.531476631,0.846507957,0.02151002,0.022230339
821,-5.201643679,-2.51851277,0.064141025,0.531492312,0.846498358,0.021484521,0.022245614
822,-5.201640685,-2.518495086,0.064143407,0.531502643,0.846492781,0.021452824,0.022241608
823,-5.201634674,-2.51847557,0.064146617,0.531519634,0.846482077,0.021462722,0.022233384
824,-5.201626586,-2.518448758,0.064153506,0.531535149,0.846473019,0.021484481,0.022186277
825,-5.201615221,-2.51841775,0.064158885,0.531549067,0.846465156,0.021527267,0.0221112
826,-5.201603952,-2.518378523,0.064165219,0.531540538,0.846471389,0.021583435,0.022022714
827,-5.201590107,-2.51833587,0.064174864,0.531532792,0.846478199,0.021608372,0.021923228
828,-5.201573662,-2.518290461,0.064189326,0.531524627,0.846484857,0.021630632,0.021842011
829,-5.201555814,-2.51824285,0.064205139,0.531533757,0.84648087,0.021636633,0.021768281
830,-5.201536837,-2.518195129,0.064225893,0.531562466,0.846463986,0.021650506,0.021709914
831,-5.201515771,-2.518149396,0.064255612,0.531618461,0.84642926,0.021673176,0.0216701
832,-5.20149297,-2.51810778,0.064283161,0.531703103,0.846375754,0.021707802,0.021648666
833,-5.201470613,-2.518061651,0.064316003,0.531823328,0.846298973,0.021768686,0.021636087
834,-5.201446176,-2.518013305,0.064346983,0.531949452,0.84621791,0.02184324,0.021631038
835,-5.201424784,-2.517954139,0.064380917,0.532099929,0.846121714,0.021901683,0.021633911
836,-5.201408794,-2.517885191,0.06441819,0.532250872,0.846025492,0.02194926,0.021635745
837,-5.201400107,-2.51780397,0.064456896,0.532372058,0.845949217,0.021966536,0.021619082
838,-5.20139776,-2.517714897,0.064494341,0.532480382,0.845881384,0.021962949,0.021609191
839,-5.201401056,-2.517617579,0.064536116,0.532599447,0.845806849,0.021951167,0.021604391
840,-5.201407515,-2.517515953,0.06457813,0.532734138,0.84572134,0.02196216,0.021619843
841,-5.201417238,-2.517411055,0.064619849,0.53289842,0.845616099,0.022006387,0.021642684
842,-5.20143068,-2.517301982,0.064669626,0.533094232,0.845490632,0.022061439,0.02166621
843,-5.201448289,-2.517187963,0.064716745,0.533303901,0.845355802,0.022131705,0.021695748
844,-5.201473216,-2.517061439,0.064770923,0.533524504,0.845214272,0.022196187,0.021720188
845,-5.20150522,-2.516924654,0.064825323,0.533753436,0.845067986,0.022249107,0.021733528
846,-5.201545478,-2.516778438,0.064889435,0.53401508,0.844901224,0.02229381,0.021744006
847,-5.201596309,-2.516619915,0.064953898,0.534297046,0.844722067,0.022332692,0.021738125
848,-5.201661549,-2.516451593,0.065025098,0.534591448,0.844536052,0.022338435,0.021721771
849,-5.201746892,-2.516265113,0.065091352,0.534896515,0.844343751,0.022305728,0.021721012
850,-5.201848027,-2.516062966,0.065153978,0.535158636,0.844179819,0.022195966,0.021748694
851,-5.201966278,-2.515839366,0.065217595,0.535379233,0.8440429,0.022018686,0.021813688
852,-5.202099786,-2.515592154,0.065280164,0.53557946,0.843919618,0.021794872,0.021893011
853,-5.2022454,-2.515327112,0.065348762,0.535785358,0.843793106,0.02155408,0.021969674
854,-5.202405827,-2.515044915,0.065426081,0.536013664,0.843653706,0.021296497,0.022005371
855,-5.202579932,-2.514751587,0.065508813,0.536308153,0.843473423,0.021048525,0.021979726
856,-5.202771055,-2.514443158,0.065598939,0.536670204,0.843251167,0.020835704,0.021873128
857,-5.202981459,-2.514118453,0.065701093,0.537082618,0.842997611,0.020642762,0.021706342
858,-5.203214333,-2.513767289,0.065816043,0.537541109,0.842714431,0.020456264,0.021528698
859,-5.203465796,-2.513393405,0.065935533,0.53801937,0.842417555,0.020277352,0.021369338
860,-5.203736872,-2.512985988,0.066062432,0.538543298,0.842088454,0.020140952,0.021271917
861,-5.204025067,-2.512546864,0.066196646,0.539113291,0.841727607,0.02002818,0.021221846
862,-5.20433452,-2.51207922,0.066334409,0.539743006,0.841327221,0.019912327,0.021201273
863,-5.204676787,-2.511582752,0.066464652,0.540427911,0.840891722,0.019746914,0.021185941
864,-5.205055094,-2.511066872,0.066585284,0.541168839,0.840421803,0.01951118,0.021137522
865,-5.205472284,-2.510531032,0.066693593,0.541962412,0.839919418,0.019224555,0.021036428
866,-5.2059286,-2.50997389,0.066791048,0.542806421,0.839384966,0.018920202,0.020882871
867,-5.206421768,-2.509392378,0.066875108,0.543685055,0.838827664,0.01860405,0.020702678
868,-5.20695128,-2.508780558,0.066946692,0.54456258,0.838268849,0.018308466,0.020536154
869,-5.207515171,-2.508138718,0.066997461,0.545407944,0.837729306,0.017990143,0.020399484
870,-5.208118603,-2.507458735,0.067023353,0.546220479,0.837208208,0.01768136,0.020321778
871,-5.208758319,-2.5067533,0.067017252,0.546983901,0.836717239,0.017373193,0.020274266
872,-5.209438584,-2.506018283,0.066975457,0.547747586,0.836224743,0.017068995,0.020233887
873,-5.21016468,-2.5052536,0.066905123,0.548535128,0.835716138,0.016757416,0.020172729
874,-5.210935887,-2.504470956,0.066799288,0.549333778,0.835200182,0.016415802,0.020089262
875,-5.211754694,-2.503669227,0.066660818,0.550164327,0.834663936,0.016008711,0.019976195
