#Time,X,Y,Z,q_x,q_y,q_z,q_w
1031,-5.55897573,-3.84565497,0.042112776,0.481639347,0.876274967,0.009816893,-0.008327624
1032,-5.558800046,-3.845378218,0.042130487,0.482097522,0.876023545,0.009592953,-0.008526573
1033,-5.558625252,-3.84507571,0.042156909,0.48252186,0.875790289,0.009359948,-0.00874161
1034,-5.558455908,-3.844735781,0.042192066,0.482890386,0.875586982,0.009130522,-0.008996927
1035,-5.558297178,-3.844342388,0.042237079,0.483183484,0.875424645,0.008938184,-0.009247789
1036,-5.558135046,-3.843905968,0.042293845,0.483407053,0.875300179,0.008811278,-0.009464645
1037,-5.557970076,-3.843419049,0.042369,0.483534373,0.875228565,0.008779909,-0.009611591
1038,-5.557802431,-3.842884522,0.042456365,0.483592418,0.875195416,0.008817522,-0.009675182
1039,-5.557632273,-3.842311166,0.042554082,0.483573914,0.87520504,0.008885541,-0.009667243
1040,-5.557459612,-3.841709405,0.04266313,0.483515823,0.87523691,0.008971739,-0.009607728
1041,-5.557284762,-3.841087776,0.042773433,0.4834509,0.875272812,0.009049566,-0.00953086
1042,-5.557110379,-3.840449826,0.042882765,0.483421892,0.875288834,0.009114685,-0.009468572
1043,-5.556938344,-3.839791792,0.042988712,0.483468778,0.875262905,0.009166263,-0.009421599
1044,-5.556759873,-3.83911579,0.043090817,0.483614027,0.875182472,0.009227776,-0.00937881
1045,-5.556575159,-3.838417072,0.043191593,0.483834275,0.875060853,0.009280802,-0.009314792
1046,-5.556385125,-3.837690892,0.043296317,0.484120451,0.874902852,0.009358183,-0.009209403
1047,-5.556185561,-3.836941478,0.043409295,0.484447581,0.874722591,0.009429833,-0.009055836
1048,-5.555978161,-3.836167671,0.043524723,0.484767675,0.874546332,0.009509341,-0.008864903
1049,-5.555767059,-3.835366845,0.043645748,0.485020315,0.874407518,0.009569167,-0.008672824
1050,-5.555556391,-3.83453309,0.043765774,0.4851837,0.874317766,0.009648149,-0.008493219
1051,-5.555342036,-3.833668496,0.04388998,0.485250965,0.874280872,0.00975025,-0.008330106
1052,-5.555125258,-3.832766825,0.044011291,0.485233802,0.874290219,0.009904781,-0.00816491
1053,-5.554898267,-3.831837333,0.044142312,0.485167041,0.874326344,0.01012794,-0.007988219
1054,-5.554657988,-3.830891099,0.044277352,0.485093572,0.874365415,0.010414654,-0.007802681
1055,-5.554403933,-3.829939526,0.044413177,0.485042043,0.874392021,0.010722589,-0.007605013
1056,-5.554135093,-3.828994509,0.044555175,0.485036088,0.874393043,0.011029339,-0.007426509
1057,-5.553850992,-3.828059841,0.044699749,0.485076727,0.874368072,0.011308451,-0.007291239
1058,-5.553555138,-3.82712703,0.044843288,0.485190031,0.874302431,0.01156845,-0.007215521
1059,-5.553243587,-3.826195579,0.04499209,0.48538379,0.874191557,0.011833828,-0.007187364
1060,-5.552922175,-3.82526098,0.045136301,0.485633057,0.874049034,0.012110073,-0.007222589
1061,-5.552599302,-3.824325453,0.045279634,0.485908034,0.873892083,0.012353544,-0.007307456
1062,-5.552281517,-3.823389725,0.045414207,0.486182748,0.873735264,0.012566658,-0.007423086
1063,-5.551967345,-3.82245323,0.045542371,0.48641071,0.873604498,0.012779601,-0.007515601
1064,-5.551651396,-3.821514974,0.045673513,0.48662961,0.873479124,0.012981148,-0.007571857
1065,-5.551331323,-3.820571521,0.045798812,0.486830871,0.873363156,0.013215467,-0.007606011
1066,-5.551004875,-3.819619052,0.045917056,0.487026311,0.873249946,0.013488488,-0.007613505
1067,-5.550672497,-3.818653936,0.046031529,0.487199506,0.873148279,0.013809818,-0.00761661
1068,-5.55033731,-3.817677683,0.046136967,0.48735389,0.873056493,0.014146219,-0.007643938
1069,-5.550000347,-3.816696751,0.046231498,0.487468631,0.872986854,0.014456959,-0.007699457
1070,-5.549661982,-3.815717272,0.046308795,0.487555164,0.872933699,0.0147313,-0.00772712
1071,-5.549319639,-3.814743102,0.046376331,0.487675801,0.872862525,0.014954314,-0.007726166
1072,-5.548969009,-3.813783246,0.046431243,0.487845755,0.872765294,0.015110436,-0.007676964
1073,-5.54861076,-3.812836603,0.046475759,0.488097594,0.872624378,0.015175673,-0.007558572
1074,-5.548240994,-3.811912193,0.046513647,0.488482799,0.87241028,0.015161006,-0.007416349
1075,-5.547864769,-3.811008337,0.046536816,0.488940344,0.872156857,0.015057852,-0.007281291
1076,-5.547484751,-3.810120187,0.046545266,0.489416942,0.871894052,0.014847945,-0.007166393
1077,-5.547097567,-3.809242372,0.046537556,0.489847028,0.871658282,0.014546867,-0.007079359
1078,-5.54670412,-3.808365707,0.046515005,0.490178789,0.871478202,0.014178223,-0.007033879
1079,-5.546295252,-3.807493307,0.046480908,0.490419651,0.871348843,0.013809377,-0.007004308
1080,-5.545869443,-3.806618935,0.04644121,0.490571699,0.871268749,0.01345131,-0.007016919
1081,-5.545427034,-3.805742399,0.046400711,0.49065814,0.871224801,0.013112839,-0.007070282
1082,-5.544969799,-3.804863616,0.046352598,0.490672499,0.871220791,0.01279277,-0.007153786
1083,-5.544493243,-3.803987845,0.046297969,0.490605986,0.871262285,0.012466884,-0.007237035
1084,-5.543992734,-3.80311436,0.04623397,0.490475395,0.871339656,0.012154402,-0.007304922
1085,-5.543463632,-3.802245188,0.046155492,0.490344353,0.871416578,0.011881695,-0.00737485
1086,-5.542906932,-3.801379317,0.046064345,0.490245659,0.871474692,0.011627953,-0.007472977
1087,-5.542320868,-3.800521124,0.045955589,0.490206991,0.871498326,0.011388391,-0.007620896
1088,-5.541694807,-3.79968939,0.045830059,0.49023131,0.871486163,0.011134446,-0.007820109
1089,-5.541036547,-3.798879996,0.045689751,0.490330093,0.871431715,0.010849833,-0.008089957
1090,-5.540346391,-3.79809653,0.045532665,0.490501112,0.871335794,0.010544409,-0.008450364
1091,-5.539626327,-3.797333454,0.045354161,0.490727781,0.871207508,0.010223508,-0.008899553
1092,-5.538872935,-3.796592241,0.045155348,0.490976886,0.871065177,0.009920977,-0.009419552
1093,-5.538090226,-3.79587113,0.044933896,0.491184522,0.870945058,0.009651491,-0.009965972
1094,-5.537281316,-3.795160367,0.044684324,0.491281344,0.870886695,0.009425493,-0.010495946
1095,-5.53643969,-3.794452601,0.044409439,0.491215732,0.870919639,0.009266144,-0.010964769
1096,-5.535555806,-3.793741179,0.044112064,0.490974724,0.871051273,0.009212127,-0.011341824
1097,-5.53462715,-3.793017852,0.043788069,0.490596095,0.871260117,0.009271538,-0.011632601
1098,-5.533644475,-3.792289647,0.043441075,0.490160684,0.871500599,0.009442491,-0.011834212
1099,-5.532606415,-3.791567645,0.043078883,0.489753337,0.871724961,0.009701239,-0.01196441
1100,-5.531511687,-3.790875378,0.042698931,0.489416707,0.871909956,0.009952348,-0.012052648
1101,-5.53036715,-3.790233603,0.042297706,0.489228189,0.872012522,0.010111032,-0.012153493
1102,-5.529170955,-3.789664759,0.041874939,0.489195379,0.872027833,0.010184476,-0.01231325
1103,-5.527924773,-3.789169406,0.041439614,0.48934296,0.871941488,0.010170941,-0.012572237
1104,-5.526623162,-3.788752645,0.040994897,0.489638289,0.871771327,0.010088,-0.012935711
1105,-5.525267875,-3.788410102,0.040546691,0.490028686,0.871546321,0.00996522,-0.01340114
1106,-5.523863204,-3.788130052,0.040099044,0.49046741,0.871292432,0.009815249,-0.013959926
1107,-5.522398703,-3.787916393,0.039657256,0.490910996,0.87103452,0.009670929,-0.014550984
1108,-5.52088368,-3.787744292,0.039232413,0.49136647,0.87076917,0.009514583,-0.015149848
1109,-5.51931337,-3.787625905,0.038825357,0.491835435,0.870495975,0.009324518,-0.01573898
