#,X,Y,Z,q_x,q_y,q_z,q_w
2928,-4.006957424,-1.993370069,0.071125043,0.585989311,0.808856348,0.048222844,0.006518701
2929,-4.008756116,-1.9889338,0.07140919,0.585915269,0.808902035,0.048367461,0.006433003
2930,-4.010569457,-1.984433266,0.071666622,0.585955966,0.808870767,0.048420348,0.006257708
2931,-4.012391326,-1.979903515,0.071891779,0.586125023,0.808755036,0.048339901,0.006000302
2932,-4.014228932,-1.97535404,0.072080585,0.586467103,0.808519167,0.048177043,0.005662732
2933,-4.016081816,-1.970811257,0.072239043,0.58698266,0.808159878,0.0479741,0.005239764
2934,-4.017951579,-1.966275834,0.072374807,0.587691855,0.807659483,0.047766548,0.004774821
2935,-4.019830479,-1.961739502,0.072500312,0.588556424,0.807041609,0.047611176,0.004284025
2936,-4.021716872,-1.95717832,0.07262051,0.589541536,0.80633264,0.047479845,0.003756933
2937,-4.023610818,-1.952574493,0.072739512,0.590612353,0.805558169,0.047360857,0.003167478
2938,-4.025510153,-1.947936565,0.07285668,0.591726612,0.80474997,0.047232666,0.002485695
2939,-4.027418265,-1.943267467,0.072971874,0.592856544,0.803928974,0.047078022,0.001727142
2940,-4.029341121,-1.938565832,0.073082536,0.593952005,0.803132469,0.046888064,0.000872795
2941,-4.031282265,-1.933831358,0.073195258,0.595005659,0.802362827,0.046713453,-0.000113878
2942,-4.033242604,-1.929066789,0.073311647,0.595988477,0.801640103,0.04657625,-0.001238105
2943,-4.035218411,-1.924267942,0.073436117,0.596886319,0.800969851,0.046560262,-0.002482407
2944,-4.0371999,-1.919435407,0.073582303,0.597706235,0.80034603,0.04668807,-0.003703201
2945,-4.039171064,-1.914580008,0.073753119,0.598443759,0.799772271,0.046976991,-0.004748037
2946,-4.041132505,-1.90970181,0.073951113,0.599115424,0.799239923,0.04738916,-0.005524529
2947,-4.043080509,-1.90481804,0.074173929,0.5997268,0.79875007,0.04784588,-0.006071499
2948,-4.045022175,-1.89993676,0.074411623,0.600296192,0.798293468,0.048270284,-0.006480746
2949,-4.046970885,-1.895069499,0.074654542,0.600914994,0.797803167,0.048628907,-0.006819543
2950,-4.048935031,-1.890236591,0.074904593,0.601641296,0.797235453,0.04891055,-0.00715131
2951,-4.050928202,-1.885431915,0.07517125,0.602521074,0.796554514,0.049125103,-0.007482351
2952,-4.052940298,-1.880687171,0.075453063,0.603550554,0.795760058,0.049314661,-0.007792574
2953,-4.054979189,-1.875982214,0.07575149,0.604719294,0.794854128,0.049561208,-0.008073228
2954,-4.057038874,-1.871303779,0.076072717,0.605939219,0.793899393,0.049928505,-0.008280164
2955,-4.059108252,-1.866638272,0.076412246,0.607127482,0.792955005,0.050477703,-0.008401268
2956,-4.061192479,-1.861952028,0.076758421,0.608197794,0.792085016,0.051236887,-0.00845887
2957,-4.063286305,-1.857244709,0.077112565,0.609057851,0.791364397,0.052142329,-0.008491336
2958,-4.065390367,-1.852510219,0.077461224,0.609684307,0.790817887,0.053105817,-0.008478723
2959,-4.067502989,-1.847753201,0.077805888,0.610118887,0.790417358,0.054083557,-0.008385334
2960,-4.06961097,-1.843006179,0.078145779,0.610404512,0.790133321,0.055033179,-0.008186349
2961,-4.071718306,-1.83828011,0.078473486,0.61060951,0.789918566,0.055875857,-0.007910337
2962,-4.073828204,-1.833603473,0.078773978,0.6107906,0.789734416,0.056534841,-0.007629305
2963,-4.07594193,-1.829000526,0.079037943,0.611023899,0.789523746,0.056983842,-0.007408872
2964,-4.078059213,-1.824480933,0.07926663,0.611345118,0.789256615,0.057256251,-0.007270804
2965,-4.080177437,-1.820039757,0.079457417,0.611760683,0.788925635,0.0573885,-0.007195102
2966,-4.082289857,-1.815673885,0.079612313,0.612267691,0.788528089,0.057452336,-0.007138313
2967,-4.084390886,-1.811368622,0.079745286,0.612845374,0.788078014,0.057481325,-0.007034824
2968,-4.086480003,-1.807117385,0.079849269,0.613482047,0.787582179,0.057505446,-0.006871126
2969,-4.088550738,-1.802937905,0.079929211,0.614144017,0.787064515,0.057549669,-0.006679189
2970,-4.090605894,-1.79881374,0.079986745,0.61477996,0.786565192,0.05760876,-0.006483149
2971,-4.092638394,-1.794755884,0.080020017,0.61538771,0.786086287,0.057673922,-0.006327314
2972,-4.094647355,-1.790765173,0.080033037,0.615962598,0.785633746,0.05771896,-0.006182017
2973,-4.096632525,-1.786846376,0.080030116,0.616513465,0.785202173,0.057723741,-0.006055118
