#Time,X,Y,Z,q_x,q_y,q_z,q_w
1087,-5.56562387,-3.738894134,0.081996461,0.494187901,0.868719463,0.025801878,-0.020954153
1088,-5.564997196,-3.737727303,0.081844564,0.494731154,0.868399637,0.02590082,-0.021267414
1089,-5.564347028,-3.736555546,0.081678307,0.495254285,0.868090878,0.025996646,-0.021577638
1090,-5.563672232,-3.735383302,0.081490034,0.495757498,0.867792116,0.026105728,-0.021905181
1091,-5.562972034,-3.734213975,0.081280648,0.496252185,0.867495233,0.02624157,-0.022297299
1092,-5.562241752,-3.733055819,0.081041561,0.496774155,0.867179234,0.026412885,-0.022759038
1093,-5.561480284,-3.731919587,0.08079127,0.497375912,0.866814719,0.026606674,-0.023270789
1094,-5.560692783,-3.73081849,0.080527725,0.498094398,0.866382395,0.026748622,-0.023833343
1095,-5.559881892,-3.729769687,0.080250378,0.49896382,0.86586453,0.026772364,-0.024432798
1096,-5.559052148,-3.72877607,0.079964487,0.499967251,0.865270521,0.026666959,-0.025070822
1097,-5.558204577,-3.727832525,0.079670341,0.501090753,0.864606239,0.026494382,-0.025732377
1098,-5.557332745,-3.726936496,0.079375905,0.502284842,0.863898599,0.026294733,-0.026414676
1099,-5.556431505,-3.726089962,0.07907385,0.503518002,0.863164477,0.026140275,-0.027081243
1100,-5.555506656,-3.72529029,0.078769898,0.504757657,0.862422321,0.026029503,-0.027747305
1101,-5.554557194,-3.724542171,0.078463755,0.505954315,0.861702187,0.025941133,-0.028401224
1102,-5.55358508,-3.723839309,0.078153971,0.507051171,0.861038016,0.02589679,-0.029017253
1103,-5.552589332,-3.723171213,0.077835517,0.508002123,0.860458331,0.025881656,-0.029587915
1104,-5.551568643,-3.72253094,0.077508672,0.508791545,0.859973759,0.025867426,-0.030119315
1105,-5.55052022,-3.721933069,0.077183963,0.50946544,0.859557658,0.025870088,-0.030599625
1106,-5.549446706,-3.721389776,0.076866523,0.510090381,0.859171272,0.025838429,-0.031062898
